date,year,month,month_name,anomaly_pred,lower_95,upper_95,absolute_pred,absolute_lower,absolute_upper
2026-01-01,2026,1,Jan,1.3831577354770916,-19.40682115679669,22.17313662775087,10.373157735477092,-10.416821156796688,31.163136627750873
2026-02-01,2026,2,Feb,1.0836840610887255,-20.14395636737134,22.31132448954879,12.613684061088724,-8.613956367371342,33.84132448954879
2026-03-01,2026,3,Mar,1.4776109635997159,-20.147149819599203,23.102371746798635,17.277610963599717,-4.347149819599203,38.902371746798636
2026-04-01,2026,4,Apr,0.457651251201197,-21.569230558112608,22.484533060515005,21.587651251201194,-0.4392305581126088,43.614533060515
2026-05-01,2026,5,May,1.7487831256599002,-20.71065009725577,24.208216348575572,29.0187831256599,6.559349902744231,51.47821634857557
2026-06-01,2026,6,Jun,2.107805929849903,-20.758343758617926,24.97395561831773,34.0178059298499,11.151656241382074,56.88395561831773
2026-07-01,2026,7,Jul,2.1052075116761158,-21.15262802755729,25.363043050909525,36.36520751167611,13.107371972442706,59.62304305090952
2026-08-01,2026,8,Aug,1.3629732004974786,-22.282831446421227,25.008777847416184,35.26297320049748,11.617168553578772,58.90877784741618
2026-09-01,2026,9,Sep,3.11410660208391,-20.918717506414808,27.14693071058263,33.37410660208391,9.341282493585194,57.40693071058263
2026-10-01,2026,10,Oct,2.1153597893327505,-22.296209039941854,26.526928618607354,25.99535978933275,1.5837909600581455,50.40692861860735
2026-11-01,2026,11,Nov,1.2840191507076029,-23.498985995889495,26.0670242973047,17.534019150707604,-7.248985995889495,42.3170242973047
2026-12-01,2026,12,Dec,1.7351770757489529,-23.4142515107292,26.88460566222711,12.125177075748953,-13.0242515107292,37.27460566222711
2027-01-01,2027,1,Jan,1.3798795614396844,-24.40646228277011,27.166221405649477,10.369879561439685,-15.41646228277011,36.156221405649475
2027-02-01,2027,2,Feb,1.0790564864905186,-25.17736641405462,27.335479387035658,12.609056486490518,-13.647366414054622,38.865479387035656
2027-03-01,2027,3,Mar,1.4278300107105615,-25.260355683429353,28.116015704850476,17.227830010710562,-9.460355683429352,43.91601570485048
2027-04-01,2027,4,Apr,0.3931320126582807,-26.731508533350215,27.517772558666778,21.52313201265828,-5.601508533350216,48.64777255866677
2027-05-01,2027,5,May,1.753991886879918,-25.835920947141382,29.343904720901214,29.02399188687992,1.4340790528586176,56.61390472090122
2027-06-01,2027,6,Jun,2.1297464569562674,-25.900945150741812,30.16043806465435,34.039746456956266,6.009054849258188,62.070438064654354
2027-07-01,2027,7,Jul,2.056589412584492,-26.400499457781816,30.513678282950803,36.31658941258449,7.859500542218182,64.7736782829508
2027-08-01,2027,8,Aug,1.3791781929475646,-27.500661209567905,30.259017595463032,35.27917819294756,6.399338790432093,64.15901759546303
2027-09-01,2027,9,Sep,3.072295765040523,-26.229278904890062,32.37387043497111,33.33229576504053,4.030721095109939,62.633870434971115
2027-10-01,2027,10,Oct,2.1168140236716977,-27.59846114524208,31.832089192585475,25.996814023671696,-3.718461145242081,55.71208919258547
2027-11-01,2027,11,Nov,1.258264226669249,-28.86356996198678,31.380098415325275,17.508264226669247,-12.61356996198678,47.63009841532528
2027-12-01,2027,12,Dec,1.732388040510076,-28.79104449641849,32.25582057743864,12.122388040510076,-18.40104449641849,42.64582057743864
2028-01-01,2028,1,Jan,1.359363060274746,-29.806473999043888,32.52520011959338,10.349363060274746,-20.816473999043886,41.51520011959338
2028-02-01,2028,2,Feb,1.0536047659818542,-30.607184019569917,32.714393551533625,12.583604765981853,-19.07718401956992,44.244393551533626
2028-03-01,2028,3,Mar,1.4100652030553347,-30.710981593134964,33.53111199924563,17.210065203055336,-14.910981593134963,49.331111999245636
2028-04-01,2028,4,Apr,0.4025914285499156,-32.18266480014707,32.98784765724691,21.532591428549914,-11.052664800147074,54.11784765724691
2028-05-01,2028,5,May,1.7434340585521184,-31.33172947325464,34.81859759035888,29.013434058552118,-4.0617294732546405,62.08859759035887
2028-06-01,2028,6,Jun,2.108162534564304,-31.4346234364727,35.650948505601306,34.018162534564304,0.4753765635272984,67.5609485056013
2028-07-01,2028,7,Jul,2.067009238681135,-31.930125518723795,36.06414399608607,36.327009238681136,2.329874481276203,70.32414399608606
2028-08-01,2028,8,Aug,1.3587658513722687,-33.08912827044632,35.806659973190854,35.25876585137227,0.810871729553682,69.70665997319085
2028-09-01,2028,9,Sep,3.0784522277646484,-31.818995397170966,37.975899852700266,33.33845222776465,-1.558995397170964,68.23589985270027
2028-10-01,2028,10,Oct,2.103174509242907,-33.23624487950794,37.44259389799375,25.983174509242907,-9.356244879507944,61.322593897993755
2028-11-01,2028,11,Nov,1.2620053173155008,-34.51259618767476,37.03660682230576,17.512005317315502,-18.26259618767476,53.28660682230576
2028-12-01,2028,12,Dec,1.7166348109759946,-34.488332333902704,37.9216019558547,12.106634810975995,-24.098332333902704,48.3116019558547
2029-01-01,2029,1,Jan,1.3542721892718919,-35.51383066737712,38.2223750459209,10.344272189271893,-26.52383066737712,47.2123750459209
2029-02-01,2029,2,Feb,1.0523679621462467,-36.33734404169574,38.442079965988235,12.582367962146247,-24.807344041695735,49.972079965988236
2029-03-01,2029,3,Mar,1.4180978985120543,-36.45973628028263,39.29593207730673,17.218097898512056,-20.659736280282626,55.09593207730673
2029-04-01,2029,4,Apr,0.3965329047172579,-37.97339441395837,38.766460223392876,21.526532904717257,-16.843394413958368,59.89646022339288
2029-05-01,2029,5,May,1.7287032714404802,-37.158459306498244,40.615865849379205,28.99870327144048,-9.888459306498245,67.8858658493792
2029-06-01,2029,6,Jun,2.095660458231963,-37.28719780067599,41.47851871713991,34.005660458231965,-5.37719780067599,73.38851871713992
2029-07-01,2029,7,Jul,2.0551464614396937,-37.810562865566844,41.920855788446225,36.31514646143969,-3.550562865566846,76.18085578844622
2029-08-01,2029,8,Aug,1.3473060552634564,-38.9978258769536,41.69243798748052,35.24730605526346,-5.0978258769536,75.59243798748051
2029-09-01,2029,9,Sep,3.067342053183257,-37.75610105225731,43.890785158623814,33.32734205318326,-7.4961010522573055,74.15078515862382
2029-10-01,2029,10,Oct,2.0917914154934882,-39.20259685804536,43.38617968903234,25.971791415493488,-15.322596858045362,67.26617968903234
2029-11-01,2029,11,Nov,1.2473788114659283,-40.511339315293675,43.00609693822553,17.49737881146593,-24.261339315293675,59.25609693822553
2029-12-01,2029,12,Dec,1.7080869865477533,-40.51026108088793,43.92643505398344,12.098086986547754,-30.12026108088793,54.31643505398344
2030-01-01,2030,1,Jan,1.3440693655095837,-41.55333588583271,44.241474616851875,10.334069365509585,-32.56333588583271,53.23147461685188
2030-02-01,2030,2,Feb,1.0410909716061725,-42.402632034329045,44.48481397754139,12.571090971606171,-30.872632034329044,56.014813977541394
2030-03-01,2030,3,Mar,1.3979168485066984,-42.560383108432404,45.3562168054458,17.1979168485067,-26.760383108432404,61.156216805445794
2030-04-01,2030,4,Apr,0.3773122893509508,-44.09928536815697,44.85390994685888,21.50731228935095,-22.96928536815697,65.98390994685887
2030-05-01,2030,5,May,1.7219581462787343,-43.29675118269263,46.740667475250106,28.991958146278733,-16.02675118269263,74.0106674752501
2030-06-01,2030,6,Jun,2.09093534591633,-43.44942666389538,47.63129735572804,34.00093534591633,-11.53942666389538,79.54129735572803
2030-07-01,2030,7,Jul,2.0396352639984516,-44.010110525828985,48.08938105382588,36.29963526399845,-9.750110525828987,82.34938105382588
2030-08-01,2030,8,Aug,1.3414804530975888,-45.21431547065948,47.897276376854656,35.24148045309759,-11.31431547065948,81.79727637685465
2030-09-01,2030,9,Sep,3.0526875121386445,-44.008025904562444,50.11340092883974,33.312687512138645,-13.748025904562443,80.37340092883974
2030-10-01,2030,10,Oct,2.0837237739336483,-45.47480416961071,49.642251717478004,25.963723773933648,-21.594804169610708,73.522251717478
2030-11-01,2030,11,Nov,1.235940180112409,-46.813998745826325,49.28587910605114,17.485940180112408,-30.563998745826325,65.53587910605114
2030-12-01,2030,12,Dec,1.6987388750682852,-46.83802480540387,50.23550255554044,12.088738875068286,-36.44802480540387,60.62550255554044
